marker_id	stage	branch	module	gene	enzyme	ec	pfam	ncbifam_tigrfam	tier	notes	scoring
HYDROL-CARB:GH	hydrolysis	carbohydrate	HYDROL-CARB	GH (multi)	glycoside hydrolases (cellulase/hemicellulase/amylase)	3.2.1.-	(use dbCAN)	(use dbCAN)	core	Detect via dbCAN/CAZy run_dbcan, not single HMMs. GH5/GH9/GH48 cellulases, GH10/GH11 xylanases, GH13 amylase.	dbcan
HYDROL-PROT:pep	hydrolysis	protein	HYDROL-PROT	pep (multi)	extracellular peptidases/proteases	3.4.-.-	PF00082;PF01435;PF00675	—	core	MEROPS S8/M4/M9 etc. Use Pfam peptidase clans (PROSITE/MEROPS have NC terms — avoid).	pending
HYDROL-LIP:lip	hydrolysis	lipid	HYDROL-LIP	lip/est	lipases/esterases	3.1.1.-	PF00151;PF07859;PF00756	—	accessory	Lipid hydrolysis to glycerol + LCFA.	pending
ACID-GLYC:core	acidogenesis	glycolysis	ACID-GLYC	(core)	Embden-Meyerhof-Parnas	—	—	—	core	Central metabolism; assume present, not a discriminating marker.	assumed
ACID-ACE:porA	acidogenesis	pyruvate	ACID-ACE	porA/porB	pyruvate:ferredoxin oxidoreductase (PFOR)	1.2.7.1	PF01855;PF17147;PF17179	NF040682; NF008819	core	Pyruvate -> acetyl-CoA + reduced Fd (key fermentative node). Pyruvate synthase subunits PorA/PorB. Pinned: porB also matches NF040479 trimeric porin PorB.	scored
ACID-ACE:pta	acidogenesis	acetate	ACID-ACE	pta	phosphotransacetylase	2.3.1.8	PF01515	TIGR00651; NF004167; NF008852	core	acetyl-CoA -> acetyl-P. Pinned to housekeeping Pta (TIGR00651 equivalog, PRK05632, PRK11890), excluding NF040837 EutD. EutD is the ethanolamine-utilisation paralog: same reaction, but a dedicated eut-operon enzyme acting inside bacterial microcompartments during growth on ethanolamine, not general acetate metabolism. NCBIfam separates the two at the model level, so no genomic-context analysis is needed -- EC 2.3.1.8 alone merged them.	scored
ACID-ACE:ackA	acidogenesis	acetate	ACID-ACE	ackA	acetate kinase	2.7.2.1	PF00871	—	core	acetyl-P -> acetate + ATP. Reversible; also acetate activation in Methanosarcina.	scored
ACID-BUT:thlA	acidogenesis	butyrate	ACID-BUT	thlA/atoB	acetyl-CoA acetyltransferase (thiolase)	2.3.1.9	PF00108;PF02803	—	core	First step of butyrate synthesis (and reverse beta-oxidation).	scored
ACID-BUT:hbd	acidogenesis	butyrate	ACID-BUT	hbd	3-hydroxybutyryl-CoA dehydrogenase	1.1.1.157	PF00725;PF02737	—	core		scored
ACID-BUT:crt	acidogenesis	butyrate	ACID-BUT	crt	crotonase (3-OH-butyryl-CoA dehydratase)	4.2.1.55	PF00378	—	core	"Investigated 2026-08-08: No usable model in NCBIfam r2026-08. PF00378 wrapper (NF012596.7) not shipped, and NCBIfam has only family-level ""crotonase/enoyl-CoA hydratase family protein"" models — nothing specific to 3-hydroxybutyryl-CoA dehydratase. EC 4.2.1.55 is not annotated on any model. PF00378 itself is the enoyl-CoA hydratase/isomerase SUPERfamily: adding it would repeat the wildcard-EC error, resolving the row while matching dozens of unrelated enzymes per genome."	scored
ACID-BUT:bcd	acidogenesis	butyrate	ACID-BUT	bcd	butyryl-CoA dehydrogenase	1.3.8.1	PF00441	—	core	Forms electron-bifurcating complex with EtfAB. Investigated 2026-08-08: No usable model in NCBIfam r2026-08. PF00441 wrapper (NF012656.7) not shipped, and no butyryl-CoA dehydrogenase model exists at all (searches hit 3-hydroxybutyryl-CoA DEHYDROGENASE = hbd, a different gene). EC 1.3.8.1 is not annotated on any model. PF00441 is the acyl-CoA dehydrogenase superfamily — non-specific for the same reason as crt.	scored
ACID-BUT:etfA	acidogenesis	butyrate	ACID-BUT	etfA	electron transfer flavoprotein alpha	—	PF01012;PF00766	—	core		scored
ACID-BUT:etfB	acidogenesis	butyrate	ACID-BUT	etfB	electron transfer flavoprotein beta	—	PF01012	—	core		scored
ACID-BUT:ptb	acidogenesis	butyrate	ACID-BUT	ptb	phosphotransbutyrylase	2.3.1.19	PF01515	—	accessory		scored
ACID-BUT:buk	acidogenesis	butyrate	ACID-BUT	buk	butyrate kinase	2.7.2.7	PF00871	—	accessory		scored
ACID-PROP:mcmA	acidogenesis	propionate	ACID-PROP	mcmA/mut	methylmalonyl-CoA mutase	5.4.99.2	PF01642;PF02310	NF006944; TIGR00642	core	Methylmalonyl-CoA (succinate) propionate pathway. Methylmalonyl-CoA mutase + small subunit. Pinned to share these models with the ACET-SYN-PROP mcm+ row, which would otherwise claim them.	scored
ACID-PROP:mce	acidogenesis	propionate	ACID-PROP	mce	methylmalonyl-CoA epimerase	5.1.99.1	PF02746	TIGR03081	accessory	Methylmalonyl-CoA epimerase. Pinned: mce also matches NF047463 mammalian cell entry protein.	scored
ACID-PROP:pcc	acidogenesis	propionate	ACID-PROP	pcc/mmd	methylmalonyl-CoA decarboxylase/carboxyltransferase	7.2.4.3	PF01039	—	accessory		scored
ACID-LACT:ldh	acidogenesis	lactate	ACID-LACT	ldh	L-lactate dehydrogenase	1.1.1.27	PF00056;PF02866	—	accessory		scored
ACID-LACT:dld	acidogenesis	lactate	ACID-LACT	dld/lldEFG	lactate dehydrogenase (oxidative)	1.1.-.-	PF02754;PF01070	—	accessory	Lactate oxidation in syntrophy.	scored
ACID-ETOH:adhE	acidogenesis	ethanol	ACID-ETOH	adhE/adh	alcohol dehydrogenase	1.1.1.1	PF00465;PF08240;PF00107	—	accessory		scored
ACID-ETOH:aldh	acidogenesis	ethanol	ACID-ETOH	aldh	aldehyde dehydrogenase	1.2.1.-	PF00171	—	accessory		scored
ACID-H2:hydA	acidogenesis	hydrogen	ACID-H2	hydA	[FeFe]-hydrogenase	1.12.7.2	PF02906;PF02256	NF040762	core	Fermentative H2 production; key for syntrophy/DIET balance. [FeFe]-hydrogenase (ferredoxin hydrogenase). Pinned: hydA also matches TIGR02033 dihydropyrimidinase and NF040832 sulfhydrogenase.	scored
ACID-H2:hydB	acidogenesis	hydrogen	ACID-H2	hydB/hyaB	[NiFe]-hydrogenase large subunit	1.12.-.-	PF00374	—	core		scored
ACID-ETA:eutB	acidogenesis	ethanolamine	ACID-ETA	eutB	ethanolamine ammonia-lyase heavy subunit	4.3.1.7	PF06751	NF011649	core	"Committed, ethanolamine-specific step. Ethanolamine catabolism releases NH3 stoichiometrically with acetaldehyde, so this module is an ammonia-load signal as well as a substrate signal -- ammonia inhibition is a primary digester failure mode. Ethanolamine derives from phosphatidylethanolamine, abundant in manure and food-waste feedstocks. Pinned. Name-based matching is unusable here: most NCBIfam models mentioning ""ethanolamine"" are phosphoethanolamine--lipid A transferases (MCR colistin resistance), entirely unrelated."	scored
ACID-ETA:eutC	acidogenesis	ethanolamine	ACID-ETA	eutC	ethanolamine ammonia-lyase light subunit	4.3.1.7	PF05985	NF003971	core	"Committed, ethanolamine-specific step (equivalog). Pinned. Name-based matching is unusable here: most NCBIfam models mentioning ""ethanolamine"" are phosphoethanolamine--lipid A transferases (MCR colistin resistance), entirely unrelated."	scored
ACID-ETA:eutA	acidogenesis	ethanolamine	ACID-ETA	eutA	ethanolamine ammonia-lyase reactivating factor	—	—	NF007992	accessory	"Reactivase; supports but does not define the pathway. Pinned. Name-based matching is unusable here: most NCBIfam models mentioning ""ethanolamine"" are phosphoethanolamine--lipid A transferases (MCR colistin resistance), entirely unrelated."	scored
ACID-ETA:eutD	acidogenesis	ethanolamine	ACID-ETA	eutD	phosphotransacetylase (eut-specific paralog)	2.3.1.8	—	NF040837	accessory	"The EutD excluded from ACID-ACE:pta and MEG-ACETO:pta -- same reaction as housekeeping Pta but an eut-operon enzyme. Given its own marker here rather than discarded, so it reads as ethanolamine catabolism instead of inflating acetate activation. Pinned. Name-based matching is unusable here: most NCBIfam models mentioning ""ethanolamine"" are phosphoethanolamine--lipid A transferases (MCR colistin resistance), entirely unrelated."	scored
ACID-ETA:eutM	acidogenesis	ethanolamine	ACID-ETA	eutM	Eut microcompartment shell protein	—	—	TIGR02526	accessory	"Bacterial microcompartment shell; EutD/EutE operate inside it. Pinned. Name-based matching is unusable here: most NCBIfam models mentioning ""ethanolamine"" are phosphoethanolamine--lipid A transferases (MCR colistin resistance), entirely unrelated."	scored
ACET-WL:fhs	acetogenesis	WoodLjungdahl	ACET-WL	fhs	formate--tetrahydrofolate ligase	6.3.4.3	PF01268	NF010030; NF010031	core	Diagnostic marker for acetogens (homoacetogenesis). Accession corrected 2026-08-07: TIGR02182 was GrxB family glutaredoxin, not fhs.	scored
ACET-WL:folD	acetogenesis	WoodLjungdahl	ACET-WL	folD	methylene-THF dehydrogenase/cyclohydrolase	1.5.1.5	PF00763;PF02882	—	core	EC narrowed to 1.5.1.5 (dehydrogenase). FolD is bifunctional and carries both 1.5.1.5 and 3.5.4.9, but 3.5.4.9 alone is not discriminating: it also admits NF045657 (fchA), a MONOfunctional methenyl-THF cyclohydrolase that lacks the NAD(P)-binding block and cannot perform the dehydrogenase step the Wood-Ljungdahl route needs. NF045657 is the only model in the release carrying 3.5.4.9 without 1.5.1.5. Rule for bifunctional enzymes: match on the activity NOT shared with monofunctional relatives.	scored
ACET-WL:metF	acetogenesis	WoodLjungdahl	ACET-WL	metF	methylene-THF reductase	1.5.1.20	PF02219	—	core		scored
ACET-WL:acsB	acetogenesis	WoodLjungdahl	ACET-WL	acsB/cdhC	acetyl-CoA synthase	2.3.1.169	PF03598	—	core	Carbonyl branch; condensation to acetyl-CoA.	scored
ACET-WL:cooS	acetogenesis	WoodLjungdahl	ACET-WL	cooS/acsA	CO dehydrogenase (Ni)	1.2.7.4	PF03063	TIGR01702	core	Anaerobic CO dehydrogenase catalytic subunit. Pinned: acsA also matches NF003313 acetate--CoA ligase, a different enzyme. CODH/ACS alpha stays with the MEG-ACETO cdhA row (TIGR00314).	scored
ACET-WL:acsC	acetogenesis	WoodLjungdahl	ACET-WL	acsC/acsD	corrinoid iron-sulfur protein	—	PF00198;PF02607	—	accessory	Methyl branch carrier.	scored
ACET-WL:fdhA	acetogenesis	WoodLjungdahl	ACET-WL	fdhA	formate dehydrogenase	1.17.1.9	PF00384;PF01568	TIGR01591	core	Formate dehydrogenase alpha (catalytic). Pinned: fdhA also matches TIGR02819 FORMALDEHYDE dehydrogenase.	scored
ACET-SYN-BUT:bcd	acetogenesis	syntrophy-but	ACET-SYN-BUT	bcd-etf	syntrophic butyrate beta-oxidation	—	(see ACID-BUT)	—	core	Reverse beta-oxidation; same enzymes run oxidatively (Syntrophomonas).	scored
ACET-SYN-PROP:mcmA	acetogenesis	syntrophy-prop	ACET-SYN-PROP	mcmA	syntrophic propionate oxidation (MMC pathway)	—	(see ACID-PROP)	NF006944; TIGR00642	core	"Syntrophobacter; thermodynamically tight, needs low H2/formate. Methylmalonyl-CoA mutase (MMC pathway). Pinned: the bare token mcm matched NF040949 minichromosome maintenance protein -- an archaeal replication protein present in every methanogen, so this module scored present in any digester. Gene field was ""mcm+""; renamed to the actual symbol mcmA. It shares its models with the ACID-PROP mcmA row, and the map records one gene name per accession (first row wins), so a differing token here scored 0/1 even when the mutase was present."	scored
